index,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Price,departure,arival
26,"Air India",2019-01-03,Mumbai,Hyderabad,"BOM → HYD",13:55,90,non-stop,10082,"2019-01-03 13:55:00","2019-01-03 15:25:00"
27,Vistara,2019-01-03,Banglore,"New Delhi","BLR → AMD → DEL",6:40,915,"1 stop",18387,"2019-01-03 06:40:00","2019-01-03 21:55:00"
28,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",11:40,1365,"1 stop",25735,"2019-01-03 11:40:00","2019-01-04 10:25:00"
29,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",7:00,375,"1 stop",26890,"2019-01-03 07:00:00","2019-01-03 13:15:00"
30,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",19:35,300,"1 stop",22153,"2019-01-03 19:35:00","2019-01-04 00:35:00"
31,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",16:55,1050,"1 stop",25735,"2019-01-03 16:55:00","2019-01-04 10:25:00"
32,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",6:45,330,"1 stop",23677,"2019-01-03 06:45:00","2019-01-03 12:15:00"
33,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",14:05,1090,"1 stop",22270,"2019-01-03 14:05:00","2019-01-04 08:15:00"
34,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",14:05,1220,"1 stop",20800,"2019-01-03 14:05:00","2019-01-04 10:25:00"
35,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",11:40,1310,"1 stop",25735,"2019-01-03 11:40:00","2019-01-04 09:30:00"
36,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",7:00,550,"1 stop",26890,"2019-01-03 07:00:00","2019-01-03 16:10:00"
37,GoAir,2019-01-03,Banglore,"New Delhi","BLR → DEL",7:45,175,non-stop,13663,"2019-01-03 07:45:00","2019-01-03 10:40:00"
38,SpiceJet,2019-01-03,Kolkata,Banglore,"CCU → BLR",17:15,150,non-stop,5515,"2019-01-03 17:15:00","2019-01-03 19:45:00"
39,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",7:00,860,"1 stop",27992,"2019-01-03 07:00:00","2019-01-03 21:20:00"
40,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",22:50,640,"1 stop",31825,"2019-01-03 22:50:00","2019-01-04 09:30:00"
41,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",22:50,530,"1 stop",26890,"2019-01-03 22:50:00","2019-01-04 07:40:00"
42,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → DEL",23:30,170,non-stop,10067,"2019-01-03 23:30:00","2019-01-04 02:20:00"
43,"Air India",2019-01-03,Banglore,"New Delhi","BLR → CCU → GAU → DEL",11:05,665,"2 stops",13576,"2019-01-03 11:05:00","2019-01-03 22:10:00"
44,"Jet Airways Business",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",5:45,300,"1 stop",52229,"2019-01-03 05:45:00","2019-01-03 10:45:00"
45,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",18:40,890,"1 stop",31825,"2019-01-03 18:40:00","2019-01-04 09:30:00"
46,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",22:50,755,"1 stop",31825,"2019-01-03 22:50:00","2019-01-04 11:25:00"
47,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → DEL",22:20,170,non-stop,11934,"2019-01-03 22:20:00","2019-01-04 01:10:00"
48,"Air India",2019-01-03,Banglore,"New Delhi","BLR → CCU → GAU → DEL",5:50,980,"2 stops",13576,"2019-01-03 05:50:00","2019-01-03 22:10:00"
49,"Air India",2019-01-03,Banglore,"New Delhi","BLR → MAA → DEL",11:50,1510,"1 stop",15434,"2019-01-03 11:50:00","2019-01-04 13:00:00"
50,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",11:40,1200,"1 stop",22270,"2019-01-03 11:40:00","2019-01-04 07:40:00"
51,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → DEL",19:55,160,non-stop,18308,"2019-01-03 19:55:00","2019-01-03 22:35:00"
52,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → DEL",13:00,170,non-stop,19685,"2019-01-03 13:00:00","2019-01-03 15:50:00"
53,"Air India",2019-01-03,Banglore,"New Delhi","BLR → DEL",21:10,165,non-stop,25703,"2019-01-03 21:10:00","2019-01-03 23:55:00"
54,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:55,1210,"1 stop",26890,"2019-01-03 08:55:00","2019-01-04 05:05:00"
55,"Air India",2019-01-03,Banglore,"New Delhi","BLR → DEL",6:10,165,non-stop,15676,"2019-01-03 06:10:00","2019-01-03 08:55:00"
56,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BBI → DEL",9:30,855,"1 stop",12704,"2019-01-03 09:30:00","2019-01-03 23:45:00"
57,"Air India",2019-01-03,Banglore,"New Delhi","BLR → HYD → DEL",17:00,1155,"1 stop",10246,"2019-01-03 17:00:00","2019-01-04 12:15:00"
58,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",7:00,800,"1 stop",27992,"2019-01-03 07:00:00","2019-01-03 20:20:00"
59,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",22:50,1350,"1 stop",25735,"2019-01-03 22:50:00","2019-01-04 21:20:00"
60,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BOM → NAG → DEL",8:50,1545,"2 stops",31783,"2019-01-03 08:50:00","2019-01-04 10:35:00"
61,Vistara,2019-01-03,Banglore,"New Delhi","BLR → DEL",7:00,160,non-stop,21520,"2019-01-03 07:00:00","2019-01-03 09:40:00"
62,"Air India",2019-01-03,Banglore,"New Delhi","BLR → CCU → DEL",5:50,1645,"1 stop",13439,"2019-01-03 05:50:00","2019-01-04 09:15:00"
63,IndiGo,2019-01-03,Kolkata,Banglore,"CCU → BLR",17:15,160,non-stop,6565,"2019-01-03 17:15:00","2019-01-03 19:55:00"
64,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → HYD → DEL",5:15,285,"1 stop",8064,"2019-01-03 05:15:00","2019-01-03 10:00:00"
65,"Jet Airways Business",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",5:45,400,"1 stop",62427,"2019-01-03 05:45:00","2019-01-03 12:25:00"
66,IndiGo,2019-01-03,Kolkata,Banglore,"CCU → BLR",14:20,155,non-stop,6565,"2019-01-03 14:20:00","2019-01-03 16:55:00"
67,SpiceJet,2019-01-03,Chennai,Kolkata,"MAA → CCU",8:20,135,non-stop,7298,"2019-01-03 08:20:00","2019-01-03 10:35:00"
68,Vistara,2019-01-03,Banglore,"New Delhi","BLR → DEL",11:30,160,non-stop,12648,"2019-01-03 11:30:00","2019-01-03 14:10:00"
69,"Air India",2019-01-03,Banglore,"New Delhi","BLR → CCU → BBI → DEL",5:50,630,"2 stops",15119,"2019-01-03 05:50:00","2019-01-03 16:20:00"
70,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:00,435,"1 stop",22270,"2019-01-03 08:00:00","2019-01-03 15:15:00"
71,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BOM → AMD → DEL",8:50,2345,"2 stops",17135,"2019-01-03 08:50:00","2019-01-04 23:55:00"
72,"Air India",2019-01-03,Banglore,"New Delhi","BLR → VGA → DEL",10:30,1490,"1 stop",11528,"2019-01-03 10:30:00","2019-01-04 11:20:00"
73,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → DEL",7:10,175,non-stop,11934,"2019-01-03 07:10:00","2019-01-03 10:05:00"
74,"Air India",2019-01-03,Banglore,"New Delhi","BLR → DEL",13:20,170,non-stop,12526,"2019-01-03 13:20:00","2019-01-03 16:10:00"
75,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BOM → BHO → DEL",8:50,1475,"2 stops",25430,"2019-01-03 08:50:00","2019-01-04 09:25:00"
76,Vistara,2019-01-03,Banglore,"New Delhi","BLR → DEL",21:10,175,non-stop,21730,"2019-01-03 21:10:00","2019-01-04 00:05:00"
77,"Multiple carriers",2019-01-03,Delhi,Cochin,"DEL → BOM → COK",12:50,385,"1 stop",36983,"2019-01-03 12:50:00","2019-01-03 19:15:00"
78,GoAir,2019-01-03,Banglore,"New Delhi","BLR → DEL",20:55,175,non-stop,18558,"2019-01-03 20:55:00","2019-01-03 23:50:00"
79,"Air India",2019-01-03,Banglore,"New Delhi","BLR → CCU → BBI → HYD → DEL",5:50,1620,"3 stops",13081,"2019-01-03 05:50:00","2019-01-04 08:50:00"
80,"Air India",2019-01-03,Banglore,"New Delhi","BLR → AMD → DEL",0:30,1200,"1 stop",14752,"2019-01-03 00:30:00","2019-01-03 20:30:00"
81,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:00,490,"1 stop",22270,"2019-01-03 08:00:00","2019-01-03 16:10:00"
82,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → DEL",18:55,170,non-stop,14306,"2019-01-03 18:55:00","2019-01-03 21:45:00"
83,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",14:05,1280,"1 stop",20800,"2019-01-03 14:05:00","2019-01-04 11:25:00"
84,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",14:05,305,"1 stop",36235,"2019-01-03 14:05:00","2019-01-03 19:10:00"
85,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → HYD → DEL",16:15,260,"1 stop",7917,"2019-01-03 16:15:00","2019-01-03 20:35:00"
86,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",5:45,875,"1 stop",27992,"2019-01-03 05:45:00","2019-01-03 20:20:00"
87,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",5:45,935,"1 stop",27992,"2019-01-03 05:45:00","2019-01-03 21:20:00"
88,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",22:50,695,"1 stop",31825,"2019-01-03 22:50:00","2019-01-04 10:25:00"
89,"Air India",2019-01-03,Banglore,"New Delhi","BLR → HYD → DEL",17:00,950,"1 stop",10981,"2019-01-03 17:00:00","2019-01-04 08:50:00"
90,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BBI → DEL",9:30,1595,"1 stop",12704,"2019-01-03 09:30:00","2019-01-04 12:05:00"
91,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:00,1455,"1 stop",22270,"2019-01-03 08:00:00","2019-01-04 08:15:00"
92,"Air India",2019-01-03,Banglore,"New Delhi","BLR → CCU → DEL",11:05,1330,"1 stop",13439,"2019-01-03 11:05:00","2019-01-04 09:15:00"
93,SpiceJet,2019-01-03,Banglore,"New Delhi","BLR → PNQ → DEL",10:20,475,"1 stop",23267,"2019-01-03 10:20:00","2019-01-03 18:15:00"
94,IndiGo,2019-01-03,Delhi,Cochin,"DEL → HYD → MAA → COK",4:55,985,"2 stops",10278,"2019-01-03 04:55:00","2019-01-03 21:20:00"
95,IndiGo,2019-01-03,Mumbai,Hyderabad,"BOM → HYD",2:30,90,non-stop,16000,"2019-01-03 02:30:00","2019-01-03 04:00:00"
96,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",16:55,365,"1 stop",54826,"2019-01-03 16:55:00","2019-01-03 23:00:00"
97,SpiceJet,2019-01-03,Chennai,Kolkata,"MAA → CCU",9:30,155,non-stop,7298,"2019-01-03 09:30:00","2019-01-03 12:05:00"
98,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",22:50,1450,"1 stop",25735,"2019-01-03 22:50:00","2019-01-04 23:00:00"
99,"Air India",2019-01-03,Banglore,"New Delhi","BLR → COK → DEL",22:00,920,"1 stop",21130,"2019-01-03 22:00:00","2019-01-04 13:20:00"
100,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:00,625,"1 stop",26890,"2019-01-03 08:00:00","2019-01-03 18:25:00"
101,IndiGo,2019-01-03,Chennai,Kolkata,"MAA → CCU",14:40,145,non-stop,7295,"2019-01-03 14:40:00","2019-01-03 17:05:00"
102,SpiceJet,2019-01-03,Banglore,"New Delhi","BLR → DEL",9:35,175,non-stop,11690,"2019-01-03 09:35:00","2019-01-03 12:30:00"
103,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",14:05,435,"1 stop",36235,"2019-01-03 14:05:00","2019-01-03 21:20:00"
104,"Air Asia",2019-01-03,Kolkata,Banglore,"CCU → BLR",10:20,155,non-stop,5620,"2019-01-03 10:20:00","2019-01-03 12:55:00"
105,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",7:00,325,"1 stop",26890,"2019-01-03 07:00:00","2019-01-03 12:25:00"
106,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:55,950,"1 stop",26890,"2019-01-03 08:55:00","2019-01-04 00:45:00"
107,Vistara,2019-01-03,Banglore,"New Delhi","BLR → DEL",19:40,160,non-stop,21730,"2019-01-03 19:40:00","2019-01-03 22:20:00"
108,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BOM → BHO → DEL",8:50,2315,"2 stops",25430,"2019-01-03 08:50:00","2019-01-04 23:25:00"
109,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",14:05,1055,"1 stop",22270,"2019-01-03 14:05:00","2019-01-04 07:40:00"
110,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",16:55,965,"1 stop",25735,"2019-01-03 16:55:00","2019-01-04 09:00:00"
111,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → DEL",20:00,175,non-stop,14306,"2019-01-03 20:00:00","2019-01-03 22:55:00"
112,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",20:35,890,"1 stop",31825,"2019-01-03 20:35:00","2019-01-04 11:25:00"
113,"Air India",2019-01-03,Chennai,Kolkata,"MAA → CCU",11:40,135,non-stop,19630,"2019-01-03 11:40:00","2019-01-03 13:55:00"
114,"Air India",2019-01-03,Banglore,"New Delhi","BLR → CCU → DEL",5:50,1015,"1 stop",14069,"2019-01-03 05:50:00","2019-01-03 22:45:00"
115,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:55,380,"1 stop",26890,"2019-01-03 08:55:00","2019-01-03 15:15:00"
116,GoAir,2019-01-03,Banglore,"New Delhi","BLR → GOI → DEL",15:45,270,"1 stop",12314,"2019-01-03 15:45:00","2019-01-03 20:15:00"
117,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",11:40,1045,"1 stop",22270,"2019-01-03 11:40:00","2019-01-04 05:05:00"
118,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",16:55,920,"1 stop",26890,"2019-01-03 16:55:00","2019-01-04 08:15:00"
119,SpiceJet,2019-01-03,Kolkata,Banglore,"CCU → BLR",6:55,160,non-stop,4622,"2019-01-03 06:55:00","2019-01-03 09:35:00"
120,"Jet Airways",2019-01-03,Mumbai,Hyderabad,"BOM → HYD",7:10,85,non-stop,17501,"2019-01-03 07:10:00","2019-01-03 08:35:00"
121,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:00,315,"1 stop",22270,"2019-01-03 08:00:00","2019-01-03 13:15:00"
122,"Air India",2019-01-03,Banglore,"New Delhi","BLR → HYD → VGA → DEL",17:00,1795,"2 stops",14887,"2019-01-03 17:00:00","2019-01-04 22:55:00"
123,GoAir,2019-01-03,Banglore,"New Delhi","BLR → DEL",11:40,175,non-stop,11111,"2019-01-03 11:40:00","2019-01-03 14:35:00"
124,IndiGo,2019-01-03,Kolkata,Banglore,"CCU → BLR",20:25,160,non-stop,4778,"2019-01-03 20:25:00","2019-01-03 23:05:00"
125,IndiGo,2019-01-03,Mumbai,Hyderabad,"BOM → HYD",6:20,85,non-stop,17501,"2019-01-03 06:20:00","2019-01-03 07:45:00"
126,"Air India",2019-01-03,Banglore,"New Delhi","BLR → HYD → DEL",17:00,370,"1 stop",11628,"2019-01-03 17:00:00","2019-01-03 23:10:00"
127,SpiceJet,2019-01-03,Kolkata,Banglore,"CCU → BLR",9:00,150,non-stop,5515,"2019-01-03 09:00:00","2019-01-03 11:30:00"
128,"Jet Airways",2019-01-03,Mumbai,Hyderabad,"BOM → HYD",10:20,90,non-stop,10875,"2019-01-03 10:20:00","2019-01-03 11:50:00"
129,IndiGo,2019-01-03,Mumbai,Hyderabad,"BOM → HYD",21:20,85,non-stop,12475,"2019-01-03 21:20:00","2019-01-03 22:45:00"
130,IndiGo,2019-01-03,Kolkata,Banglore,"CCU → BLR",15:20,155,non-stop,6565,"2019-01-03 15:20:00","2019-01-03 17:55:00"
131,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BOM → AMD → DEL",8:50,905,"2 stops",17345,"2019-01-03 08:50:00","2019-01-03 23:55:00"
132,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",14:05,640,"1 stop",26890,"2019-01-03 14:05:00","2019-01-04 00:45:00"
133,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",5:45,760,"1 stop",26890,"2019-01-03 05:45:00","2019-01-03 18:25:00"
134,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → DEL",16:55,170,non-stop,12649,"2019-01-03 16:55:00","2019-01-03 19:45:00"
135,Vistara,2019-01-03,Banglore,"New Delhi","BLR → AMD → DEL",6:40,1665,"1 stop",12371,"2019-01-03 06:40:00","2019-01-04 10:25:00"
136,IndiGo,2019-01-03,Mumbai,Hyderabad,"BOM → HYD",12:00,85,non-stop,12475,"2019-01-03 12:00:00","2019-01-03 13:25:00"
137,"Air India",2019-01-03,Banglore,"New Delhi","BLR → BOM → BHO → DEL",6:45,1600,"2 stops",26480,"2019-01-03 06:45:00","2019-01-04 09:25:00"
138,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",22:50,375,"1 stop",26890,"2019-01-03 22:50:00","2019-01-04 05:05:00"
139,"Air India",2019-01-03,Banglore,"New Delhi","BLR → GAU → DEL",13:50,1730,"1 stop",17198,"2019-01-03 13:50:00","2019-01-04 18:40:00"
140,"Air Asia",2019-01-03,Kolkata,Banglore,"CCU → BLR",19:35,150,non-stop,5964,"2019-01-03 19:35:00","2019-01-03 22:05:00"
141,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",5:45,570,"1 stop",26890,"2019-01-03 05:45:00","2019-01-03 15:15:00"
142,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",5:45,625,"1 stop",26890,"2019-01-03 05:45:00","2019-01-03 16:10:00"
143,"Air India",2019-01-03,Mumbai,Hyderabad,"BOM → HYD",19:30,75,non-stop,15385,"2019-01-03 19:30:00","2019-01-03 20:45:00"
144,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:55,435,"1 stop",26890,"2019-01-03 08:55:00","2019-01-03 16:10:00"
145,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:55,570,"1 stop",26890,"2019-01-03 08:55:00","2019-01-03 18:25:00"
146,"Multiple carriers",2019-01-03,Delhi,Cochin,"DEL → BOM → COK",0:20,780,"1 stop",29528,"2019-01-03 00:20:00","2019-01-03 13:20:00"
147,IndiGo,2019-01-03,Mumbai,Hyderabad,"BOM → HYD",9:10,90,non-stop,13999,"2019-01-03 09:10:00","2019-01-03 10:40:00"
148,"Multiple carriers",2019-01-03,Delhi,Cochin,"DEL → HYD → COK",14:35,465,"1 stop",14762,"2019-01-03 14:35:00","2019-01-03 22:20:00"
149,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → HYD → DEL",16:55,295,"1 stop",8153,"2019-01-03 16:55:00","2019-01-03 21:50:00"
150,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",14:05,1165,"1 stop",25735,"2019-01-03 14:05:00","2019-01-04 09:30:00"
151,IndiGo,2019-01-03,Kolkata,Banglore,"CCU → BLR",22:10,165,non-stop,4778,"2019-01-03 22:10:00","2019-01-04 00:55:00"
152,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",22:50,1290,"1 stop",25735,"2019-01-03 22:50:00","2019-01-04 20:20:00"
153,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",14:05,375,"1 stop",27992,"2019-01-03 14:05:00","2019-01-03 20:20:00"
154,"Vistara Premium economy",2019-01-03,Chennai,Kolkata,"MAA → CCU",7:05,135,non-stop,9125,"2019-01-03 07:05:00","2019-01-03 09:20:00"
155,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",14:05,1135,"1 stop",20800,"2019-01-03 14:05:00","2019-01-04 09:00:00"
156,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",7:00,685,"1 stop",26890,"2019-01-03 07:00:00","2019-01-03 18:25:00"
157,"Air India",2019-01-03,Mumbai,Hyderabad,"BOM → HYD",15:00,85,non-stop,6092,"2019-01-03 15:00:00","2019-01-03 16:25:00"
158,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",22:50,1555,"1 stop",26890,"2019-01-03 22:50:00","2019-01-05 00:45:00"
159,IndiGo,2019-01-03,Banglore,"New Delhi","BLR → NAG → DEL",16:50,285,"1 stop",13302,"2019-01-03 16:50:00","2019-01-03 21:35:00"
160,SpiceJet,2019-01-03,Mumbai,Hyderabad,"BOM → HYD",5:45,80,non-stop,12475,"2019-01-03 05:45:00","2019-01-03 07:05:00"
161,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",8:00,1265,"1 stop",22270,"2019-01-03 08:00:00","2019-01-04 05:05:00"
162,"Jet Airways Business",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",5:45,340,"1 stop",79512,"2019-01-03 05:45:00","2019-01-03 11:25:00"
163,"Multiple carriers",2019-01-03,Delhi,Cochin,"DEL → BOM → COK",0:20,910,"1 stop",23170,"2019-01-03 00:20:00","2019-01-03 15:30:00"
164,"Jet Airways",2019-01-03,Banglore,"New Delhi","BLR → BOM → DEL",5:45,805,"1 stop",27992,"2019-01-03 05:45:00","2019-01-03 19:10:00"
165,IndiGo,2019-01-03,Kolkata,Banglore,"CCU → BLR",21:25,160,non-stop,4778,"2019-01-03 21:25:00","2019-01-04 00:05:00"
166,"Air Asia",2019-01-03,Banglore,"New Delhi","BLR → DEL",23:25,165,non-stop,10873,"2019-01-03 23:25:00","2019-01-04 02:10:00"
167,SpiceJet,2019-01-03,Chennai,Kolkata,"MAA → CCU",17:45,140,non-stop,7718,"2019-01-03 17:45:00","2019-01-03 20:05:00"
168,"Air India",2019-01-03,Banglore,"New Delhi","BLR → COK → DEL",22:00,1520,"1 stop",14305,"2019-01-03 22:00:00","2019-01-04 23:20:00"
